,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
CR220Q06TT,1922.0,43372.84911550468,55807.35121888334,1831.0,2961.3,6252.900000000001,21816.0,33258.5,50049.5,102400.54999999971,201267.6699999998,1521060.0
CR220Q06F,1886.0,29812.98197242842,45321.878069096165,2.0,31.150000000000027,1913.5,13203.5,23009.0,37175.75,75016.75,130496.05000000048,1509109.0
CR220Q06A,1922.0,2.292924037460978,2.5647353968511553,0.0,0.0,1.0,1.0,2.0,2.0,6.0,12.0,48.0
CR220Q06V,1922.0,1.0520291363163372,0.24867905719403946,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0
CR220Q06VS,1922.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CR560Q10S,1372.0,0.19970845481049562,0.3999269475431814,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
CR560Q10TT,1904.0,95076.10399159664,98585.4345532028,970.0,3427.33,8561.85,41176.75,81602.0,128764.0,213803.59999999995,329772.88,1868900.0
CR560Q10F,1562.0,61175.45582586428,82124.11184495402,130.0,2100.64,4741.400000000001,15262.75,43787.5,86027.75,165623.34999999998,232436.8799999999,1728705.0
CR560Q10A,1904.0,6.561974789915967,10.388933817369653,0.0,0.0,0.0,1.0,3.0,8.0,24.0,48.0,120.0
CR560Q10V,1904.0,1.1580882352941178,0.46609447258116565,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,6.0
CR560Q10VS,1904.0,0.0005252100840336134,0.02291746242570528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CR560Q03S,1862.0,0.46294307196562834,0.4987588420985998,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
CR560Q03TT,1903.0,155081.56227009985,122377.47433521338,147.0,1616.26,14906.800000000001,69009.0,134485.0,211828.0,360205.6999999997,545955.0000000003,1843240.0
CR560Q03F,1870.0,119741.71229946525,108306.79429469499,2.0,120.7500000000001,4377.35,38211.75,97197.5,170211.5,314245.3,457917.7499999981,1472484.0
CR560Q03A,1903.0,3.2201786652653706,9.584609803141284,0.0,0.0,1.0,1.0,2.0,3.0,9.0,18.0,276.0
CR560Q03V,1903.0,1.1802417235943248,0.5769754566758287,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,7.0
CR560Q03VS,1903.0,0.01418812401471361,0.13095323221739238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
CR560Q06S,1874.0,0.5960512273212379,0.49081841014406397,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
CR560Q06TT,1903.0,71819.66053599579,63536.762535019814,90.0,1813.78,8477.9,28441.0,54589.0,95647.5,188824.8,305761.6000000001,610231.0
CR560Q06F,1880.0,55453.89787234043,56657.800461769795,1.0,15.369999999999997,3441.4000000000005,17634.5,38535.5,73896.25,160852.69999999995,271028.0800000001,608304.0
CR560Q06A,1903.0,2.3836048344718863,3.39232514044327,0.0,0.0,1.0,1.0,2.0,2.0,6.0,13.0,93.0
CR560Q06V,1903.0,1.1571203363110878,0.5416515905576386,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,7.0
CR560Q06VS,1903.0,0.016815554387808723,0.15796734322161443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
CR560Q08S,1869.0,0.43659711075441415,0.49609651744082567,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
CR560Q08TT,1903.0,83060.4739884393,66519.13477826538,1413.0,4111.34,9943.400000000001,39076.5,67890.0,107749.0,207994.09999999992,302579.82000000007,899198.0
CR560Q08F,1883.0,62818.272437599575,58959.23629832426,1.0,24.740000000000002,2936.400000000001,24605.0,48842.0,83274.0,170797.3,263711.2200000001,896662.0
CR560Q08A,1903.0,2.7204414083026798,4.902373662140377,0.0,0.019999999999999574,1.0,1.0,2.0,3.0,7.899999999999864,15.0,102.0
CR560Q08V,1903.0,1.067262217551235,0.28948487204466133,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0
CR560Q08VS,1903.0,0.0005254860746190226,0.022923483038557263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CR559Q01S,1937.0,0.7124419204956117,0.45274082087480516,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
CR559Q01TT,1956.0,140106.60224948876,100861.48018533514,115.0,4808.35,15842.5,69015.5,117304.5,191521.0,319550.5,439484.85000000003,1190751.0
CR559Q01F,1940.0,110366.98092783506,91577.40039709349,2.0,167.31,5500.200000000001,43424.25,87046.0,157182.5,286471.35,409675.1199999998,668214.0
CR559Q01A,1956.0,2.696319018404908,5.180013404723125,0.0,1.0,1.0,1.0,2.0,3.0,7.25,17.450000000000045,134.0
CR559Q01V,1956.0,1.1605316973415134,0.4731096708286497,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,6.0
CR559Q01VS,1956.0,0.006134969325153374,0.0781053795596868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CR559Q04S,1930.0,0.8347150259067357,0.3715338119032724,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
CR559Q04TT,1956.0,56083.847137014316,57777.33476278737,105.0,2674.5,8681.25,28172.0,46646.5,70440.5,128777.0,221942.25,1792468.0
CR559Q04F,1933.0,43415.389032591826,54126.488432063066,1.0,13.560000000000002,3386.8,17427.0,33878.0,56752.0,112036.19999999997,187423.7600000003,1788649.0
CR559Q04A,1956.0,2.091513292433538,5.11507571304735,0.0,0.0,1.0,1.0,2.0,2.0,5.0,9.0,213.0
CR559Q04V,1956.0,1.215235173824131,0.6285557642381893,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,8.0
CR559Q04VS,1956.0,0.02607361963190184,0.1747050790735743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
CR559Q03S,1928.0,0.5695020746887967,0.49527435850011636,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
CR559Q03TT,1955.0,67598.4368286445,71205.24499491272,245.0,2361.2599999999998,6563.6,27847.0,52238.0,89496.0,171465.7,274489.20000000007,1848680.0
CR559Q03F,1933.0,52727.42265907915,51937.355484899774,1.0,10.96,2786.8,19244.0,38566.0,71187.0,143136.59999999992,248361.80000000028,761295.0
CR559Q03A,1955.0,2.183631713554987,2.336909161540209,0.0,0.0,1.0,1.0,2.0,2.0,6.0,11.0,46.0
CR559Q03V,1955.0,1.138618925831202,0.48805290200808976,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,6.0
CR559Q03VS,1955.0,0.015345268542199489,0.1310137661899947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
CR559Q06S,1917.0,0.37089201877934275,0.483169648802519,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
CR559Q06TT,1956.0,80980.26124744376,73468.93238140305,90.0,1909.55,5259.75,36355.0,70144.0,109187.0,192600.5,284995.7500000002,1854186.0
CR559Q06F,1926.0,64059.460539979234,68459.90401633247,2.0,39.5,2311.25,24266.75,52112.5,86405.5,164317.5,255881.75,1838494.0
CR559Q06A,1956.0,2.905930470347648,16.993525037504085,0.0,0.0,1.0,1.0,2.0,3.0,6.0,15.0,737.0
CR559Q06V,1956.0,1.1017382413087935,0.41007396873745466,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,5.0
CR559Q06VS,1956.0,0.011758691206543968,0.11692905603130961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
CR559Q08TT,1955.0,227584.11508951406,171722.455128405,2127.0,4855.0599999999995,19432.6,107524.5,188199.0,307369.5,543722.3999999999,810992.8000000003,1450677.0
CR559Q08F,1857.0,32117.038772213247,36488.274071047,1.0,8.559999999999999,1851.8000000000002,11346.0,23315.0,41849.0,89484.39999999998,142823.40000000008,809532.0
CR559Q08A,1955.0,168.01943734015344,154.90924681870717,0.0,0.0,0.7000000000000028,27.0,147.0,252.0,447.5999999999999,636.9200000000001,1973.0
CR559Q08V,1955.0,1.0460358056265984,0.22606144205782672,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0
CR559Q08VS,1955.0,0.0005115089514066496,0.02261656365159503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CR404Q03S,455.0,0.6461538461538462,0.47868848273579445,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
CR404Q03TT,470.0,86799.29574468086,74755.19977105274,25.0,624.89,6737.450000000001,28498.5,65519.0,125593.0,236333.59999999986,328029.4,382290.0
CR404Q03F,459.0,60015.59912854031,61556.34474391705,3.0,1006.24,2089.9,13646.0,37266.0,90674.5,187961.09999999998,255590.4,323954.0
CR404Q03A,470.0,3.6340425531914895,10.584118863139226,0.0,0.0,1.0,1.0,2.0,3.75,8.549999999999955,19.24000000000001,193.0
CR404Q03V,470.0,1.1382978723404256,0.5767540933684059,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,9.0
CR404Q03VS,470.0,0.014893617021276596,0.16581995451467074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3100000000000023,3.0
CR404Q06S,457.0,0.350109409190372,0.47752673877908897,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
CR404Q06TT,469.0,51006.58635394456,53561.136742861476,300.0,518.68,4728.6,22207.0,42029.0,66514.0,114141.19999999988,183798.47999999984,896494.0
CR404Q06F,461.0,19017.295010845988,45145.02316770676,2.0,289.20000000000016,2136.0,6258.0,11103.0,20313.0,51411.0,120945.5999999998,886436.0
CR404Q06A,469.0,3.4264392324093818,8.378430813233033,0.0,0.0,1.0,2.0,2.0,4.0,7.0,12.319999999999993,178.0
CR404Q06V,469.0,1.1940298507462686,0.6783326774741514,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,8.0
